system:index,ID_PARCEL,soc_0_5cm,soc_15_30cm,soc_5_15cm,.geo
00000000000000002ae3,13280313,903.6000000000001,337.8888888888889,524.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c675,6869786,597.6363636363636,210.27272727272728,346.0909090909091,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e445,6858187,550.7313432835821,167.1044776119403,269.1940298507463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f97,13283273,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000039fd,13288843,589.0,253.0,326.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000629f,6787008,717.0,267.0,408.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000653d,6762390,313.4375,133.43749999999997,191.65625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d51,6794411,327.77611940298505,131.53731343283582,187.76119402985074,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000066a7,6865175,536.0,138.0,279.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ea1,6834176,317.0,126.33333333333334,194.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002806,13278560,349.5714285714286,131.04761904761904,233.42857142857142,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e82,13272520,619.6341463414634,169.51219512195124,282.1707317073171,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000053ab,6794568,650.3766233766233,194.57142857142853,371.49350649350646,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c846,6765993,465.49090909090904,148.58181818181816,242.72727272727272,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000058cb,10914089,435.35897435897436,144.76923076923075,238.25641025641022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009e8a,6819775,304.11538461538464,123.26923076923075,185.49999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d47,6794415,447.44654088050316,192.44654088050314,261.84276729559747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000da73,6886820,453.59911894273125,138.54185022026434,222.29074889867843,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d5f7,6868014,624.0,182.0,318.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000940f,6821536,692.0,236.0,397.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000669c,6801326,515.0,169.0,300.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006027,6794339,366.48837209302326,143.32558139534885,241.76744186046517,"{""type"":""MultiPoint"",""coordinates"":[]}"
